JMG,20080725225336.76,S,0.999988138676,26.2156058575,18685.4741973
QCH,20080726013523.98,P,0.999983131886,323.833804312,674.02598273
QCH,20080727224049.09,P,0.999982297421,633.543786264,2850.95120877
PWU,20080718014654.60,S,0.999982059002,794.683380427,7816.03919954
JMG,20080706040550.93,S,0.999980151653,2667.34138263,3597.17267014
MXI,20080719020107.90,S,0.999978125095,5676.91291537,72989.7515194
PWU,20080714004718.04,P,0.999972581863,33241.5538729,46935.9267801
MXI,20080717030602.79,S,0.99996727705,54867.96804,77362.0505349
PWU,20080708031535.94,P,0.999958515167,68519.6859713,31217.9015169
MXI,20080714030153.93,S,0.999951243401,96350.2217464,52393.6985432
PWU,20080722155414.14,S,0.999925732613,133785.903387,140527.66993
PWU,20080715211951.34,S,0.999886512756,389198.989402,106276.425244
MXI,20080705061100.33,P,0.999883711338,1418096.64441,5235928.53534
XCO,20080702024407.96,P,0.891211390495,1462178.18599,98510.2169867
XCO,20080702233227.20,P,0.879021048546,2021650.88855,126819.584522
XCO,20080702233836.06,P,0.874765574932,3293123.79238,128091.249429
PWU,20080703120552.94,P,0.999981701374,160.724626115,15621.1071141
MXI,20080706082608.89,P,0.99998152256,527.126459175,9136.65156429
JMG,20080714035642.76,S,0.999979496002,1498.8024524,30844.313365
XJI,20080722024249.74,S,0.999977171421,5318.49237196,18906.5670484
WXT,20080716005733.08,P,0.999971747398,8239.09154962,31176.1607188
QCH,20080705004719.64,P,0.999969601631,20837.2308505,11965.831807
PWU,20080718191522.89,P,0.99995392561,38115.1902172,92385.0123173
PWU,20080716001337.13,P,0.999945044518,48144.3523908,30431.7815065
MXI,20080714040237.27,S,0.999931931496,62511.0288176,235839.586988
PWU,20080716063322.05,P,0.999929070473,83361.5784768,169228.18016
MXI,20080709042317.03,P,0.999895036221,87028.5585309,22507.866405
MXI,20080716222450.40,S,0.999892950058,124634.11841,95459.0838439
WXT,20080705022028.00,P,0.999886393547,217611.248171,118706.477336
MXI,20080707061522.47,S,0.999873518944,321525.508449,88696.583259
PWU,20080715211948.63,P,0.999871015549,389198.989402,106276.425244
MXI,20080705061104.57,S,0.999560236931,1418096.64441,5235928.53534
XCO,20080702024038.17,P,0.848747730255,2641938.20119,135104.770248
QCH,20080713210358.07,P,0.99998152256,328.993750548,5314.96849641
QCH,20080724092540.10,P,0.999978601933,521.079302305,132980.941129
QCH,20080724074647.10,P,0.999977350235,871.346903196,15465.4268012
QCH,20080709221556.49,P,0.999976933002,2614.55718021,21218.6848709
QCH,20080725041853.16,P,0.999975085258,4382.74400146,43831.9270212
MXI,20080718071438.53,S,0.999968230724,7268.36100168,63789.4674934
PWU,20080707205150.01,P,0.999967753887,9696.72288015,8004.50848457
PWU,20080726011208.77,S,0.999966919422,9875.045779,40353.735622
XJI,20080727001647.77,S,0.999966800213,11977.5815208,171615.307288
MXI,20080717010046.82,S,0.99996316433,17533.0921792,26671.2600455
PWU,20080719143816.85,S,0.99996227026,19207.9379374,602336.385842
MXI,20080724045510.76,S,0.999953269958,37672.7298727,44153.4911757
MXI,20080703071810.77,S,0.999933481216,43177.5302611,259202.445463
PWU,20080720122335.08,P,0.999920964241,52083.4243358,65545.9579981
MXI,20080717030555.22,P,0.999919354916,54867.96804,77362.0505349
QCH,20080702043222.35,P,0.999876976013,88375.611501,57668.8873468
PWU,20080704063103.52,P,0.999815523624,341240.120085,243316.239185
MXI,20080726232839.15,S,0.999224603176,678328.065236,226401.522156
XCO,20080702022307.70,P,0.966831088066,1092387.73722,63595.2194558
XCO,20080702045836.18,P,0.834270298481,1234750.48902,227902.325557
QCH,20080727205525.06,P,0.9999807477,214.979700352,1591.85194019
MXI,20080704012310.14,P,0.999977588654,295.836761837,32580.6165464
MXI,20080703010934.55,S,0.999975085258,2664.49293885,19603.7111842
PWU,20080719164829.77,S,0.999974012375,3707.59573225,169123.566504
MXI,20080722225950.12,P,0.999967753887,6460.25163015,13237.4874384
MXI,20080704012809.53,S,0.999966919422,7529.40317571,18368.7609042
PWU,20080728053838.96,P,0.999961733818,14514.0114749,13386.2218247
PWU,20080716201649.15,S,0.999957203865,16773.332929,51858.8197313
QCH,20080724225942.09,P,0.999955773354,18496.454588,80010.2367257
MXI,20080705082001.34,P,0.999951422215,24896.4037501,93512.4757901
PWU,20080722140911.93,S,0.999948501587,33673.2268703,48063.4577136
MXI,20080716021842.22,S,0.999928236008,37008.7450546,6755.40116852
HSH,20080714001323.99,P,0.999919593334,47384.3476484,162401.103882
PWU,20080720122338.08,S,0.999896407127,52083.4243358,65545.9579981
PWU,20080714062632.19,P,0.999866187572,58562.7969568,37384.8197681
PWU,20080715150645.09,S,0.99985742569,65454.0909035,132181.971716
QCH,20080709052432.98,P,0.999845385551,66147.1695317,17003.9813259
PWU,20080722155410.29,P,0.999807596207,133785.903387,140527.66993
PWU,20080711031328.10,P,0.999794483185,134775.830931,155947.138904
MXI,20080725012506.70,P,0.999738514423,150154.374437,294557.846449
PWU,20080704063106.51,S,0.999612212181,341240.120085,243316.239185
MXI,20080726232837.57,P,0.998014330864,678328.065236,226401.522156
YZP,20080706223002.03,S,0.999979496002,77.6085030245,18027.7443997
PWU,20080710140121.84,P,0.999977588654,148.732706531,5281.3209224
QCH,20080724220140.97,P,0.999976813793,199.350500688,1455.39956486
JJS,20080724035111.60,S,0.999976336956,271.829101386,12779.1209505
QCH,20080724222400.04,P,0.999974787235,470.280962863,1832.44160742
JMG,20080730212658.87,S,0.999974727631,2205.25647919,98239.7980473
MXI,20080724035053.85,S,0.999970853329,2951.01748884,23602.458844
MXI,20080720200509.48,P,0.999970793724,3190.00701408,26047.5147581
HSH,20080702031939.85,S,0.999970376492,3665.7268048,81149.9176912
QCH,20080731210853.02,P,0.999966442585,3980.51454942,10597.4491085
JMG,20080708102650.93,S,0.999962508678,6220.51226696,37095.4461934
XJI,20080707044706.01,S,0.999960005283,6857.96697774,230713.468058
MXI,20080702004850.85,S,0.9999589324,7891.33541134,41395.0982875
PWU,20080710024709.01,S,0.999956250191,8895.70367409,22856.2345995
MXI,20080706215145.01,S,0.999955654144,14020.253638,75591.6845757
PWU,20080728145408.85,S,0.999951004982,17644.0838504,67469.407649
MXI,20080716044419.82,S,0.999948918819,21229.2083274,24054.7463001
PWU,20080715225314.09,S,0.999947965145,27787.4294114,96920.7962055
MXI,20080727150133.97,P,0.999946653843,32023.2897719,123944.446869
PWU,20080709131910.01,S,0.999919116497,33803.626227,72877.8855585
PWU,20080702142017.84,S,0.999905109406,42632.4225012,88526.5266091
MXI,20080709044221.92,S,0.999893546104,43484.7195616,25879.1411922
QCH,20080704221859.20,P,0.999855995178,64511.084426,186912.835443
PWU,20080713023416.33,S,0.999802112579,107008.524294,49719.1586307
MXI,20080730043824.33,S,0.99974822998,107124.518378,44551.1612084
WXT,20080708031543.41,S,0.999632835388,109281.286332,94654.2493543
MXI,20080707061518.55,P,0.999591112137,321525.508449,88696.583259
